LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,BILL_AMT1,PAY_AMT1,PAY_AMT2,default_payment_next_month
60000,male,high school,married,55,3 month(s) late,2 month(s) late,60521,2504,7,0
30000,female,graduate school,single,23,1 month(s) late,on time,4000,5645,3508,0
240000,male,graduate school,single,41,1 month(s) late,on time,95,2622,3301,0
420000,male,university,married,34,on time,on time,253454,9744,9553,0
330000,male,high school,married,46,on time,on time,227389,8210,8095,0
30000,female,university,single,22,on time,on time,28452,2000,1400,0
240000,male,university,married,34,on time,on time,10674,1500,1800,0
150000,male,graduate school,single,27,on time,on time,17444,2500,3000,0
210000,female,university,married,33,on time,on time,7166,1500,1500,0
50000,female,high school,married,51,on time,on time,752,300,5880,1
50000,male,graduate school,single,24,on time,on time,50801,2360,1700,0
240000,male,graduate school,single,47,1 month(s) late,on time,0,0,0,1
180000,male,university,single,28,on time,on time,1832,0,416,0
50000,male,university,single,23,1 month(s) late,2 month(s) late,10131,1000,10000,0
170000,male,university,single,29,on time,on time,12159,10000,10000,0
20000,male,graduate school,single,29,on time,on time,1199,15586,344,0
50000,male,graduate school,single,28,on time,on time,4999,1000,1500,0
170000,female,university,single,27,on time,on time,19269,1661,1200,1
200000,male,graduate school,single,34,1 month(s) late,2 month(s) late,197236,8000,5000,0
80000,female,university,married,23,1 month(s) late,2 month(s) late,9168,1650,0,0
260000,female,graduate school,married,60,1 month(s) late,on time,-1100,0,22500,0
140000,male,university,married,32,on time,on time,86627,3455,3110,0
80000,male,graduate school,single,25,on time,on time,42444,30000,3000,0
350000,male,graduate school,single,41,1 month(s) late,on time,208,2906,1000,0
280000,female,university,married,56,on time,on time,208775,8042,6700,0
30000,female,high school,single,26,on time,on time,9014,1700,1500,0
140000,male,graduate school,married,34,on time,on time,23944,5000,5000,0
200000,female,graduate school,single,37,on time,on time,105420,4000,3250,0
200000,female,high school,single,30,on time,on time,196031,7300,7108,0
210000,male,high school,married,45,2 month(s) late,3 month(s) late,115785,10478,10478,1
50000,male,high school,married,57,3 month(s) late,2 month(s) late,12854,0,1600,0
30000,male,graduate school,single,41,2 month(s) late,2 month(s) late,24357,3500,0,0
50000,male,university,single,27,2 month(s) late,on time,390,390,780,0
290000,male,high school,married,47,on time,on time,1234,396,396,0
250000,female,graduate school,married,34,on time,on time,141223,17994,0,0
60000,female,university,married,46,on time,on time,21148,3000,1500,0
110000,female,graduate school,single,27,on time,on time,101640,5500,3900,0
370000,male,graduate school,single,50,on time,on time,6093,15383,8204,0
100000,male,university,married,27,on time,2 month(s) late,102349,3166,0,0
90000,female,university,married,35,on time,on time,72112,3500,3500,0
50000,female,university,single,22,on time,on time,28040,1510,1442,0
270000,male,university,single,37,on time,on time,37695,5000,2000,0
300000,female,graduate school,single,30,on time,on time,688,3288,0,0
50000,female,university,single,22,on time,on time,8567,15000,1000,0
50000,female,graduate school,single,24,1 month(s) late,on time,-709,0,0,1
360000,male,graduate school,single,29,1 month(s) late,on time,0,0,77,0
130000,male,high school,married,56,1 month(s) late,2 month(s) late,64617,3000,3000,1
80000,male,graduate school,single,30,on time,on time,6187,504,500,0
50000,male,university,single,30,1 month(s) late,2 month(s) late,48860,0,1500,0
20000,female,university,single,22,on time,on time,16001,1212,1201,0
80000,female,university,married,29,on time,on time,77883,5800,1000,0
240000,male,graduate school,single,37,on time,on time,12212,15000,0,0
80000,female,high school,single,35,on time,on time,49608,12500,6500,0
500000,female,graduate school,married,47,on time,on time,56422,70010,30357,0
60000,female,university,married,24,on time,on time,58024,2500,1600,1
20000,male,university,single,25,on time,on time,10642,1200,1593,0
100000,female,university,married,38,1 month(s) late,2 month(s) late,14483,0,1600,1
360000,female,graduate school,single,32,1 month(s) late,on time,2616,57087,5295,0
200000,female,high school,single,47,2 month(s) late,2 month(s) late,199436,8214,7000,1
130000,female,university,married,34,1 month(s) late,on time,0,5396,5000,0
20000,female,university,single,31,1 month(s) late,5 month(s) late,21703,0,1000,0
310000,male,graduate school,single,32,on time,on time,59901,10020,6031,0
60000,female,graduate school,single,27,2 month(s) late,on time,19625,1342,1664,1
180000,female,graduate school,single,29,on time,on time,11386,199,0,0
180000,female,graduate school,single,24,on time,on time,14670,37867,0,0
50000,male,university,married,36,on time,on time,47790,2000,1000,0
50000,female,graduate school,single,24,1 month(s) late,2 month(s) late,36166,1900,1400,1
150000,female,university,married,34,on time,on time,0,0,0,0
20000,female,graduate school,single,22,on time,on time,18553,1500,1032,0
500000,female,graduate school,married,34,on time,on time,412,138,2299,0
30000,female,high school,single,22,1 month(s) late,2 month(s) late,29010,1000,85,1
180000,female,graduate school,married,38,on time,on time,750,0,0,0
140000,male,graduate school,single,31,on time,on time,27123,25000,0,0
140000,female,graduate school,single,26,on time,on time,13424,10000,13001,0
120000,male,university,single,26,on time,on time,107314,5000,5000,0
360000,female,university,married,48,on time,on time,226430,9100,7300,0
20000,male,high school,married,43,on time,on time,227,22359,1305,0
100000,male,graduate school,married,47,on time,on time,390,1473,390,0
210000,female,university,married,41,on time,on time,3088,1586,343,1
80000,female,university,single,24,on time,on time,81625,3200,3000,1
330000,female,graduate school,married,50,on time,on time,8872,4345,2854,0
220000,male,graduate school,single,24,on time,on time,105607,5000,5050,0
210000,female,graduate school,married,38,1 month(s) late,on time,0,0,250,1
40000,female,high school,married,43,on time,on time,38257,1700,1504,0
30000,male,university,single,39,on time,on time,28347,3036,2309,0
470000,male,university,single,27,2 month(s) late,2 month(s) late,296573,13000,11001,0
30000,male,high school,married,42,on time,on time,390,390,390,0
240000,female,university,married,36,1 month(s) late,on time,-946,0,0,1
80000,male,university,single,36,2 month(s) late,on time,79278,3100,3500,0
110000,female,high school,other,31,on time,on time,89989,4000,5000,0
310000,female,graduate school,single,38,on time,on time,1424,4542,126,0
360000,female,graduate school,married,40,2 month(s) late,2 month(s) late,105167,12000,0,1
330000,female,high school,single,45,on time,on time,335196,12388,12378,0
300000,female,university,single,35,on time,on time,291619,12019,9006,0
320000,female,university,single,33,on time,on time,91653,10042,18832,0
50000,female,high school,single,37,1 month(s) late,3 month(s) late,52626,0,24,1
170000,female,graduate school,single,28,on time,on time,130370,6530,4860,0
350000,male,high school,married,44,on time,on time,3265,2686,1864,0
20000,male,university,married,37,on time,on time,16455,1609,3000,0
50000,male,university,single,23,2 month(s) late,on time,49758,2401,2254,1
20000,female,high school,single,24,1 month(s) late,2 month(s) late,19154,0,1333,0
50000,female,graduate school,single,24,on time,on time,35084,2090,2002,0
20000,male,university,single,23,1 month(s) late,2 month(s) late,20235,0,1200,1
50000,male,university,married,26,on time,on time,102800,0,0,0
190000,male,university,single,34,2 month(s) late,on time,129801,5000,5000,1
60000,female,university,married,33,on time,on time,58203,1506,1298,0
80000,male,graduate school,single,35,on time,on time,7988,3983,6853,0
150000,female,university,single,27,on time,on time,127402,4500,1745,0
210000,female,graduate school,single,31,on time,on time,1440,0,7422,0
240000,female,high school,married,50,on time,on time,234205,10116,9150,1
140000,female,university,other,41,on time,on time,19346,3000,2000,1
60000,female,graduate school,single,28,1 month(s) late,2 month(s) late,21501,0,0,0
50000,male,graduate school,single,39,on time,on time,47174,1800,2000,0
50000,female,university,single,27,on time,on time,26655,1800,1750,0
180000,female,graduate school,single,32,on time,on time,3139,2821,0,0
30000,female,graduate school,single,40,on time,on time,142,355,120,0
20000,female,university,single,40,on time,on time,19816,1601,2203,0
250000,female,university,married,75,on time,on time,52874,1631,1536,0
100000,female,university,single,27,on time,on time,37767,1788,1799,0
330000,male,graduate school,single,25,on time,on time,46140,2504,4007,0
50000,male,high school,married,46,on time,on time,35713,1561,1268,0
50000,female,university,single,26,1 month(s) late,2 month(s) late,50867,1710,136,0
30000,male,university,single,28,on time,on time,29242,5006,1244,0
140000,female,university,single,26,on time,on time,101551,5366,5087,1
160000,female,graduate school,single,28,on time,on time,70243,7042,2000,0
400000,female,university,single,29,on time,on time,19532,3127,1469,0
50000,male,university,married,25,on time,on time,27699,1565,1393,0
140000,female,university,married,48,on time,on time,1154,1233,1075,0
160000,female,university,married,33,on time,on time,8015,2453,9880,0
100000,female,high school,married,43,on time,on time,62170,0,0,0
220000,male,graduate school,married,48,2 month(s) late,on time,210380,10000,9020,1
510000,female,graduate school,single,29,on time,on time,78331,40010,20094,0
50000,male,university,single,29,on time,on time,49276,1602,1400,0
160000,female,graduate school,married,38,on time,on time,4473,4664,5969,0
230000,female,graduate school,single,37,on time,on time,2283,51315,0,0
80000,female,graduate school,single,37,on time,on time,10115,258,5995,0
150000,female,university,married,25,on time,on time,6156,0,0,0
10000,male,high school,single,23,on time,on time,6974,1134,1298,0
130000,female,high school,single,49,on time,on time,89003,4100,3095,1
40000,female,graduate school,single,48,on time,on time,34871,1600,1600,0
50000,male,university,single,27,3 month(s) late,2 month(s) late,13694,1700,0,1
100000,male,high school,single,32,on time,on time,70003,2035,2004,0
120000,male,graduate school,married,34,on time,2 month(s) late,1082,0,1350,0
260000,female,graduate school,single,58,1 month(s) late,on time,0,0,0,1
200000,female,university,single,33,on time,on time,11253,2000,1322,0
360000,female,university,single,28,on time,on time,0,0,0,1
70000,female,university,single,36,on time,on time,68699,4483,12496,0
460000,male,graduate school,married,40,2 month(s) late,on time,171,2728,0,1
50000,female,graduate school,single,26,on time,on time,1156,316,316,0
50000,male,high school,married,33,on time,on time,50859,2007,2199,0
250000,female,university,married,31,on time,on time,103109,4000,4500,0
30000,female,graduate school,single,27,on time,on time,1512,1000,664,0
270000,male,university,married,44,on time,on time,127543,10063,5162,0
180000,female,high school,single,30,on time,on time,163935,7722,6091,0
100000,female,graduate school,single,28,on time,on time,53494,4173,3000,0
230000,female,high school,married,32,on time,on time,195126,5000,5000,0
210000,female,graduate school,married,46,on time,on time,110346,41986,21874,0
210000,male,graduate school,single,38,2 month(s) late,on time,60502,3276,2026,0
440000,female,university,married,46,on time,on time,180641,8610,6907,0
100000,female,university,single,25,2 month(s) late,on time,70896,3472,2092,1
240000,female,university,married,46,on time,on time,8751,1295,1000,0
280000,male,graduate school,single,33,on time,on time,898,898,325,1
50000,female,university,single,22,1 month(s) late,on time,0,0,0,1
30000,male,university,married,43,3 month(s) late,2 month(s) late,1700,1100,0,0
10000,male,university,single,27,on time,on time,7015,3507,0,1
130000,male,graduate school,single,29,1 month(s) late,on time,0,0,0,0
200000,male,graduate school,single,31,on time,on time,194353,9000,7465,0
120000,female,university,married,29,on time,on time,1686,657,2319,0
210000,female,university,married,36,on time,on time,143225,6483,5082,0
280000,female,graduate school,married,36,on time,on time,58983,2755,3463,0
300000,male,graduate school,single,34,1 month(s) late,on time,0,0,13001,1
100000,male,university,single,37,on time,on time,99209,3490,2332,0
440000,female,graduate school,single,36,on time,on time,0,0,0,0
50000,female,high school,married,40,on time,on time,49941,2400,1206,0
20000,female,graduate school,single,25,on time,on time,11968,2800,0,1
200000,female,graduate school,single,27,on time,on time,871,665,960,0
110000,female,university,single,26,on time,on time,432,3220,5904,0
500000,female,university,married,36,on time,on time,10483,23962,0,0
300000,female,university,married,27,1 month(s) late,on time,0,5215,0,0
30000,male,high school,married,55,2 month(s) late,2 month(s) late,9720,1200,1200,1
60000,female,graduate school,single,27,on time,on time,20847,13809,14583,0
400000,female,university,married,38,on time,on time,3697,1000,1354,0
180000,female,university,married,34,on time,on time,143301,7000,5000,0
20000,male,graduate school,single,40,on time,on time,10934,3000,3100,0
200000,female,high school,married,49,on time,2 month(s) late,52439,0,6000,1
100000,male,graduate school,single,27,on time,on time,55734,1631,1286,0
60000,male,university,single,23,on time,on time,49507,1970,2000,1
110000,female,university,single,36,on time,on time,47819,2200,2500,0
260000,female,high school,married,53,1 month(s) late,on time,0,165,526,0
50000,female,high school,married,46,3 month(s) late,2 month(s) late,48522,3754,1,0
180000,male,university,single,29,1 month(s) late,on time,-2,0,0,0
110000,male,university,single,29,1 month(s) late,2 month(s) late,58362,2500,0,1
340000,female,graduate school,single,27,on time,on time,172180,21105,5461,0
50000,male,university,single,24,on time,on time,1399,1070,1500,0
230000,female,university,married,28,on time,on time,26361,1710,1100,1
360000,female,university,single,32,on time,on time,93029,10000,7000,0
210000,male,university,single,43,1 month(s) late,on time,0,0,38013,0
220000,female,university,married,41,on time,2 month(s) late,650,325,0,1
60000,female,university,married,34,2 month(s) late,2 month(s) late,24898,3800,0,1
340000,male,university,married,55,on time,on time,50396,44665,8321,0
150000,male,graduate school,married,40,2 month(s) late,2 month(s) late,99855,5200,0,0
200000,female,university,married,37,1 month(s) late,on time,-179,1000,0,1
130000,female,university,single,40,on time,on time,9559,3000,0,1
60000,female,graduate school,single,28,1 month(s) late,2 month(s) late,10540,0,1483,0
400000,female,university,married,43,1 month(s) late,on time,0,0,0,0
20000,male,graduate school,single,27,on time,on time,20571,1323,1600,0
190000,female,graduate school,single,28,on time,on time,143464,5795,7408,0
260000,female,graduate school,single,30,on time,on time,156882,10000,8000,0
140000,female,university,single,31,on time,on time,390,0,0,0
50000,female,university,married,31,on time,on time,46512,1974,4406,1
120000,female,graduate school,single,34,on time,on time,882,6900,5037,0
240000,female,university,single,30,on time,on time,92,92,92,0
50000,male,university,single,36,on time,on time,5916,1212,1200,0
200000,female,graduate school,single,29,on time,2 month(s) late,2393,0,4872,0
180000,male,graduate school,married,39,on time,on time,274731,11000,145000,0
180000,female,graduate school,single,26,on time,on time,145403,5440,5051,0
160000,female,graduate school,single,29,on time,on time,3097,0,0,0
100000,female,university,single,26,on time,on time,1370,4210,4159,0
50000,female,university,single,29,on time,on time,47081,3000,2000,1
140000,female,university,single,31,on time,on time,138119,6600,6500,0
30000,female,university,single,26,on time,on time,17893,1411,1522,1
90000,male,graduate school,single,26,on time,on time,39128,1541,4200,0
200000,male,graduate school,married,36,1 month(s) late,on time,-14386,10118,47015,0
380000,male,graduate school,single,30,1 month(s) late,on time,0,0,0,1
80000,female,university,single,43,on time,on time,77057,3177,2600,0
50000,male,high school,married,58,2 month(s) late,2 month(s) late,15899,3400,0,0
180000,male,university,married,45,on time,on time,27679,1481,2000,1
240000,female,university,single,26,on time,on time,141315,6349,5834,0
380000,male,university,single,34,on time,on time,194314,9010,35000,0
110000,female,other,single,24,on time,on time,83755,3000,2900,0
260000,male,graduate school,married,34,on time,on time,49657,291,51058,0
500000,female,university,single,23,4 month(s) late,3 month(s) late,507726,10000,0,1
320000,female,university,single,30,on time,on time,71305,2589,2568,0
50000,male,university,single,32,4 month(s) late,3 month(s) late,45734,0,0,0
110000,male,graduate school,married,40,1 month(s) late,on time,0,0,2066,1
230000,female,graduate school,single,35,on time,on time,761,300,399,0
330000,female,university,married,56,1 month(s) late,on time,-9,1529,1507,0
50000,female,university,married,61,on time,on time,47166,3000,2237,0
10000,male,university,single,24,on time,2 month(s) late,2887,0,1500,0
300000,male,graduate school,married,40,1 month(s) late,on time,0,0,0,0
20000,female,university,married,32,3 month(s) late,2 month(s) late,20631,0,1168,1
180000,male,university,married,36,2 month(s) late,2 month(s) late,83538,0,0,1
160000,male,graduate school,single,30,on time,on time,99,2977,15086,0
90000,female,graduate school,single,34,on time,on time,34302,1640,9000,0
30000,male,high school,other,54,on time,on time,22987,2500,2000,0
180000,male,graduate school,married,46,on time,on time,173267,8100,5299,0
30000,male,high school,married,58,on time,on time,19143,1640,1700,0
30000,male,university,married,43,1 month(s) late,2 month(s) late,20518,0,1342,0
140000,female,graduate school,single,28,on time,on time,10833,14000,3855,0
210000,male,graduate school,single,30,on time,on time,69937,3500,3000,0
50000,male,university,single,31,on time,on time,20526,2000,3000,1
130000,female,university,single,29,on time,on time,89055,4200,2575,0
50000,female,university,married,37,2 month(s) late,2 month(s) late,1894,1500,400,1
140000,male,high school,married,36,on time,on time,100594,3000,30000,0
170000,female,university,single,28,on time,on time,2948,1105,1903,1
80000,male,university,single,25,on time,on time,22619,10010,1209,0
410000,female,other,married,42,on time,on time,338106,15000,14000,0
80000,female,graduate school,single,29,1 month(s) late,on time,0,80000,0,0
80000,male,high school,married,73,on time,on time,63144,3500,4330,1
150000,male,university,married,43,on time,on time,153249,7900,6500,0
260000,male,graduate school,married,30,on time,on time,1131,291,582,1
350000,male,graduate school,married,38,1 month(s) late,on time,0,0,0,0
280000,female,university,married,39,1 month(s) late,on time,-1312,38621,2000,1
310000,male,university,married,44,on time,on time,103797,4400,4013,0
140000,female,university,single,29,on time,on time,20110,3000,3000,0
360000,male,graduate school,married,51,on time,on time,38000,25000,0,0
140000,female,graduate school,single,27,on time,on time,142428,10000,10000,0
100000,male,graduate school,single,38,on time,on time,40810,2502,1200,0
50000,female,university,single,22,on time,on time,0,0,0,0
210000,female,university,married,30,on time,on time,104701,4002,5000,0
120000,female,university,single,25,2 month(s) late,2 month(s) late,120298,4007,0,0
240000,male,graduate school,single,29,on time,on time,156362,5233,3289,0
60000,female,high school,other,42,on time,on time,41322,1488,1394,0
150000,male,graduate school,single,41,on time,on time,1464,2091,384,1
30000,male,university,married,48,on time,on time,27879,1774,1710,0
160000,female,graduate school,single,29,2 month(s) late,2 month(s) late,160432,7500,0,1
200000,male,graduate school,married,52,on time,on time,3858,2690,3487,0
120000,female,university,married,25,on time,on time,26476,6000,0,0
500000,male,graduate school,married,37,1 month(s) late,2 month(s) late,507062,325,15296,0
320000,female,graduate school,single,27,on time,on time,55607,11404,8232,0
280000,male,graduate school,single,31,on time,on time,168382,10000,8000,0
60000,female,graduate school,single,23,1 month(s) late,2 month(s) late,29332,0,2709,1
200000,female,graduate school,married,38,on time,on time,190,0,0,0
230000,female,graduate school,married,32,1 month(s) late,on time,0,0,2809,0
230000,female,university,single,27,1 month(s) late,2 month(s) late,13668,0,1064,1
480000,female,high school,married,41,on time,on time,14867,26734,199982,0
50000,female,high school,married,35,on time,on time,22500,5000,0,0
200000,female,graduate school,single,31,on time,on time,7184,17507,1102,0
50000,female,graduate school,single,30,on time,on time,14811,2000,1600,0
50000,male,university,married,48,on time,on time,44338,3629,3332,0
260000,female,graduate school,single,36,1 month(s) late,on time,0,0,0,1
30000,male,graduate school,single,24,2 month(s) late,on time,25265,1500,1800,0
440000,female,graduate school,single,29,on time,on time,169661,8071,9021,0
230000,female,university,single,38,on time,on time,10237,2795,1350,0
200000,male,university,married,38,2 month(s) late,2 month(s) late,104978,4500,0,1
490000,female,university,married,30,on time,on time,192586,10000,7143,0
80000,female,university,married,32,on time,on time,11262,0,0,0
20000,female,high school,single,49,2 month(s) late,2 month(s) late,9551,3000,1500,1
170000,female,graduate school,single,31,on time,on time,199,199,199,1
70000,male,graduate school,single,27,on time,on time,70119,3600,1646,0
210000,female,university,single,33,on time,on time,212601,6000,4500,0
90000,female,university,single,25,on time,on time,91894,3200,3300,0
390000,female,graduate school,single,27,on time,on time,304867,13007,10612,1
110000,female,graduate school,single,29,on time,on time,48123,2500,2500,0
580000,female,graduate school,married,36,on time,on time,159760,6422,6565,0
360000,male,high school,married,55,on time,on time,9210,6015,17454,0
270000,female,university,married,32,1 month(s) late,2 month(s) late,234752,10000,8000,1
60000,female,graduate school,single,27,on time,on time,14072,0,0,0
110000,male,high school,married,37,on time,on time,61807,2300,2200,0
50000,female,graduate school,married,25,on time,on time,51044,2500,3008,0
80000,female,graduate school,single,23,on time,on time,77024,3212,1600,1
50000,male,university,single,23,on time,on time,350,350,400,0
100000,male,graduate school,single,32,on time,on time,83831,4000,4037,0
30000,female,graduate school,single,26,1 month(s) late,on time,0,0,945,0
200000,female,graduate school,single,27,on time,on time,122923,5704,5930,0
240000,male,graduate school,single,44,on time,on time,246135,12026,9010,1
220000,male,university,single,34,on time,on time,37304,1600,1500,0
160000,female,graduate school,single,28,on time,on time,146433,4500,4400,0
180000,female,graduate school,married,53,on time,on time,46122,1260,29366,0
200000,male,other,married,42,on time,on time,38564,5000,1485,0
140000,female,high school,married,30,on time,on time,96304,4505,12906,0
